# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_CAL.csdat
#
Time [s],Lat [mm.mm],Long [mm.mm],Heading [¡],v_veh_GPS [km/h],v_veh_CAN [km/h],vair_ar [m/s],beta_ar [¡],n_eng [rpm],tq_l [Nm],tq_r [Nm],t_amb_veh [¡C],t_tire [¡C],Satelites [#],Zone (UTM) [-],Lat (UTM) [m],Long (UTM) [m],Sec_ID [-],Dir_ID [-],Lat (root) [m],Long (root) [m],dist (root) [m],slope_deg [°],altitude [m],v_veh [km/h],dist [m],vair_ic [m/s],vair_uf [m/s],vair [m/s],beta_ic [°],beta_uf [°],beta [°],vwind_ha [m/s],vwind [m/s],vwind 1s [m/s]
41372,2873.73670488889,456.477632444445,47,0.0358555555555556,0.0369312222222222,3.27814444444444,-5.5,576.466666666667,-138.856666666667,65.8111111111111,20,40,10,32,5305635.86103784,395951.827257944,0,0,0,0,0,0,0,0.0358555555555555,0.0045037037037037,6.55628888888889,3.51601414532909,2.79152887944938,-5.5,-5.48535979107015,-5.48069480274798,3.50610004681072,2.78161473067675,2.79552199373208
41373,2873.7367,456.477622673267,45,0.0325445544554455,0.0335208910891089,3.32055445544554,-5.5,576.727722772277,18.4554455445545,188.114851485148,20,40,10,32,5305635.8522014,395951.814922447,0,0,0,0,0,0,0,0.0325445544554455,0.0133008525852585,6.64110891089109,3.56150152427486,2.82742776327909,-5.5,-5.48535979107015,-5.48113369018096,3.55250290253861,2.81842910143481,2.79309628713092
41374,2873.73670029703,456.477613861387,48.5643564356436,0.286514851485149,0.295110297029703,3.04735643564357,-5.5,547.643564356436,2527.77623762376,2459.13168316832,20,40,10,32,5305635.85294951,395951.803955162,0,0,0,0,0,0,0,0.286514851485148,0.0393140814081408,6.09471287128713,3.26847962777864,2.60946687499307,-5.5,-5.48535979107015,-5.44571292989993,3.18927328331898,2.53025567627585,2.51662112856943
41375,2873.73677118812,456.477756534654,45,1.50049504950495,1.5455099009901,2.85016831683168,-5.5,568.975247524752,3397.84158415842,3080.84851485149,20,40,10,32,5305635.98105974,395951.984054692,0,0,0,0,0,0,0,1.50049504950495,0.278815704070407,5.70033663366337,3.05698308551725,2.51105713205339,-5.5,-5.48535979107015,-5.27430724807749,2.64241866343301,2.09640072464744,2.07036214514508
41376,2873.73695910891,456.47814990099,45,3.07729702970297,3.16961594059406,2.24637623762376,-5.5,784.891089108911,5463.3,4783.61683168317,20,40,10,32,5305636.32031867,395952.480357821,0,0,0,0,0,0,0,3.07729702970297,0.889725055005499,4.49275247524752,2.40937846427168,2.08745162059384,-5.5,-5.48535979107015,-4.98112549425622,1.56119903427124,1.23859963300175,1.22324752775483
41377,2873.73737524752,456.478965841584,45,6.21353465346534,6.39994069306931,1.28560396039604,-5.5,1079.9603960396,6326.07920792079,5415.50891089109,20,40,10,32,5305637.07282459,395953.510694748,0,0,0,0,0,0,0,6.21353465346534,2.17463547854785,2.57120792079208,1.37889034075484,1.44956117446115,-5.5,-5.48535979107015,-4.05620131546386,0.705453489406094,0.559681638213457,0.667320595043405
41378,2873.73809663366,456.480288415842,45,9.25531683168316,9.53297633663366,0.591564356435644,-5.5,1073.57425742574,7648.61287128713,6158.95643564356,20,40,10,32,5305638.37937529,395955.182352546,0,0,0,0,0,0,0,9.25531683168315,4.31446551155115,1.18312871287129,0.63448962678419,1.0336102561323,-5.5,-5.48535979107015,-2.88065499182785,1.94037546857179,1.53942469249636,1.51743542006119
41379,2873.73916891089,456.482129108911,45,12.5924653465347,12.9702393069307,0.80890099009901,-5.5,761.579207920792,6183.25940594059,5172.68514851485,20,40,10,32,5305640.3242609,395957.511161885,0,0,0,0,0,0,0,12.5924653465346,7.37303261826183,1.61780198019802,0.867596706477899,1.4097200752136,-5.5,-5.48535979107015,-2.8760065564528,2.63564409134797,2.091026020773,2.07035113377946
41380,2873.74061069307,456.484352970297,45,15.2766633663366,15.7349632673267,1.21933663366337,-5.5,756.658415841584,6159.08910891089,5137.13168316831,20,40,9.59405940594059,32,5305642.9449921,395960.329631564,0,0,0,0,0,0,0,15.2766633663366,11.2471007150715,2.43867326732673,1.30781450437426,1.9125526590542,-5.5,-5.48535979107015,-3.14464753609991,2.94442798464912,2.33600414881686,2.3305614041724
41381,2873.74242920792,456.486862475247,45,17.8651782178218,18.4011335643564,1.86817821782178,-5.5,895.618811881188,6683.25940594059,5550.2099009901,20,40,10,32,5305646.25714791,395963.516512232,0,0,0,0,0,0,0,17.8651782178218,15.8509552255225,3.73635643564356,2.00373752626702,2.61265567805935,-5.5,-5.48535979107015,-3.44729735968398,2.97452281106284,2.35988031074947,2.36737717798916
41382,2873.74452683168,456.489805544555,45,20.7732871287129,21.3964857425743,2.54183168316832,-5.5,1050.38118811881,7214.25346534653,6053.83069306931,20,40,10,32,5305650.07657456,395967.252810923,0,0,0,0,0,0,0,20.7732871287128,21.2130955995599,5.08366336633663,2.72627283651622,3.35221215030481,-5.5,-5.48535979107015,-3.63223081851364,3.06797537555888,2.43402224239747,2.43781799566268
41383,2873.74692524752,456.493229207921,45,23.6955148514852,24.4063802970297,3.31877227722772,-5.5,1029.11881188119,6293.33861386139,5054.50396039604,20,40,10,32,5305654.44238169,395971.597835601,0,0,0,0,0,0,0,23.6955148514851,27.4055828932893,6.63754455445545,3.5595900271064,4.18045823806396,-5.5,-5.48535979107015,-3.7686893218099,3.05929685732342,2.42713701555229,2.38629719667643
41384,2873.74954049505,456.497165841584,45,26.2050198019802,26.9911703960396,4.44362376237624,-5.5,932.376237623762,5385.14950495049,5473.52871287129,20,40,10,32,5305659.19832027,395976.589112189,0,0,0,0,0,0,0,26.2050198019802,34.3412455720572,8.88724752475247,4.76606332326613,5.2809961678699,-5.5,-5.48535979107015,-3.97117388147781,2.57693676878974,2.04444972487547,2.09376874752701
41385,2873.75236950495,456.50156990099,45,28.6707128712871,29.5308342574257,4.34869306930693,-5.5,1020.90594059406,4852.56138613861,5791.74554455446,20,40,9.95049504950495,32,5305664.33972911,395982.169799761,0,0,0,0,0,0,0,28.6707128712871,41.9706455720572,8.69738613861386,4.66424424075949,5.34151511669911,-5.5,-5.48535979107015,-3.85762268867375,3.35254716349035,2.65979134957546,2.60719925575209
41386,2873.75539425743,456.506434059406,45,31.0603069306931,31.9921161386139,4.98048514851485,-5.49811881188119,1105.81188118812,4787.47623762376,5793.04257425743,20,40,9,32,5305669.83339557,395988.330166978,0,0,0,0,0,0,0,31.060306930693,50.2657301430143,9.9609702970297,5.34188060640732,6.01580728052728,-5.49811881188119,-5.48347860295133,-3.91392068165769,3.35096082059181,2.65853280169732,2.70432903849064
