Resultfile Programm VECTO_CSE 2.0.1-pre2 Comp 04/06/2014
Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS1.csdat

Time,Lat,Long,Heading,v_veh_GPS,v_veh_CAN,vair_ar,beta_ar,n_eng,tq_l,tq_r,t_amb_veh,t_tire,Satelites,Zone (UTM),Lat (UTM),Long (UTM),Sec_ID,Dir_ID,Lat (root),Long (root),dist (root),slope_deg,altitude,v_veh,dist,vair_ic,vair_uf,vair,beta_ic,beta_uf,beta,vwind_ha,vwind,vwind 1s,omega_wh,omega_p_wh,tq_sum,tq_sum_1s,tq_sum_float,t_float,F_trac,F_acc,F_grd,F_res,v_veh_1s,v_veh_avg,a_veh_avg,v_veh_float,t_amp_stat,p_amp_stat,rh_stat,vair_sq
[s],[mm.mm],[mm.mm],[°],[km/h],[km/h],[m/s],[°],[rpm],[Nm],[Nm],[°C],[°C],[#],[-],[m],[m],[-],[-],[m],[m],[m],[°],[m],[km/h],[m],[m/s],[m/s],[m/s],[°],[°],[°],[m/s],[m/s],[m/s],[rad/s],[rad/s2],[Nm],[Nm],[Nm],[s],[N],[N],[N],[N],[km/h],[km/h],[m/s2],[km/h],[°C],[mbar],[%],[m/s]
44423,2873.92178058823,456.822735490196,45,15.0562941176471,15.5079829411765,1.9021568627451,-3.5,752.926557941177,339.313516362745,331.75458527451,20,40,9,32,5305970.95000047,396387.887161366,0,0,0,0,0,0,0,15.056294117647,1.08722685185185,1.9021568627451,2.04018173981958,2.48190878373254,-3.5,-3.48535979107014,-2.33022221186959,2.14957411039651,1.70539543376672,1.72659738107475,8.76069830785426,0.0031345449228112,671.068101637255,669.633402849319,648.116569538203,5.97757665617755,1405.69371958671,22.0457752379285,0,1405.69371958671,15.0567679820409,15.0567679820409,0.000858128022905129,15.0669273534539,24.6,1015.3,39.7,6.1788333643662
44424,2873.92283366337,456.824722871287,45,15.0496831683168,15.5011736633663,1.74856435643564,-3.5,749.6029801,339.602242950495,320.337277328713,20,40,9,32,5305972.85620792,396390.397774657,0,0,0,0,0,0,0,15.0496831683168,4.22390811331133,1.74856435643564,1.8754442079772,2.35086321154642,-3.5,-3.48535979107015,-2.2701186838253,2.31144273232823,1.83381622529809,1.82937432681592,8.72202672367102,0.000812696201569359,659.939520279208,659.52244336714,645.156296911983,5.98020259067953,1376.87638151715,45.0154139686345,0,1376.87638151715,15.0556467993334,15.0556467993334,0.00179443191844138,15.0689661136626,24.6,1015.3,39.6999999999999,5.55702560977462
44425,2873.92423227723,456.827381188119,45,15.0766435643564,15.5289428712871,1.74985148514851,-3.5,752.885746495049,328.96607969604,310.193356436634,20,40,9,32,5305975.38746736,396393.755631501,0,0,0,0,0,0,0,15.0766435643564,8.40798715621561,1.74985148514851,1.87682473370998,2.35350467331725,-3.5,-3.48535979107015,-2.26957394633415,2.31753442299355,1.83864915540937,1.83901585699853,8.76022344511598,0.000449121584623065,639.159436132673,639.61432215971,645.499291946538,5.96952164556638,1336.96923468704,47.3637752855903,0,1336.96923468704,15.0727599254975,15.0727599254975,0.00189115446197797,15.0674955633819,24.6,1015.3,39.6999999999999,5.56712486615254
44426,2873.92563336634,456.830042376238,45,15.0863564356436,15.5389471287129,1.82875247524752,-3.5,751.562346830693,314.683521063366,313.662595359406,20,40,9,32,5305977.92324951,396397.117144339,0,0,0,0,0,0,0,15.0863564356436,12.5964823157315,1.82875247524752,1.96145096112919,2.42118497695528,-3.5,-3.48535979107015,-2.3014895185038,2.2361142361919,1.77405328308452,1.74881323028584,8.74482499080744,-0.000491895071341514,628.346116422772,629.254745270415,648.371285017244,5.96567364214619,1311.20097873615,78.3641287658369,0,1311.20097873615,15.081844427017,15.081844427017,0.00313830888039371,15.0647861121504,24.6,1015.3,39.6999999999999,5.88310646146368
44427,2873.9270360396,456.832701584158,45,15.070099009901,15.522201980198,2.14981188118812,-3.5,751.882168413861,309.885885587129,327.555391814851,20,40,9,32,5305980.46201228,396400.476240264,0,0,0,0,0,0,0,15.070099009901,16.7851678492849,2.14981188118812,2.30580717602728,2.69339650123422,-3.5,-3.48535979107015,-2.41046266590143,1.89007456385274,1.49951774869419,1.54339900950603,8.74854628390426,0.000149707194874354,637.44127740198,637.968259902078,649.34485241243,5.97209861543812,1332.15037611495,-139.870782162967,0,1332.15037611495,15.0702964415253,15.0702964415253,-0.00559585661536381,15.0613163235972,24.6,1015.3,39.6999999999999,7.28631743408767
44428,2873.92843425743,456.835360693069,45,15.0510099009901,15.5025401980198,1.95430693069307,-3.5,751.753504556436,318.98409720297,339.098772823762,20,40,9,32,5305982.99252617,396403.835061731,0,0,0,0,0,0,0,15.0510099009901,20.9687672717271,1.95430693069307,2.09611593664721,2.52597291575095,-3.5,-3.48535979107015,-2.34780368385011,2.09262143044661,1.66021120873462,1.62618400639203,8.747049211944,0.00143291172154591,658.082870026733,657.743700897334,650.415517719695,5.97967326685381,1376.85686883601,-84.4557987214165,0,1376.85686883601,15.0531853739829,15.0531853739829,-0.00338882898190747,15.054930410678,24.6,1015.3,39.6999999999999,6.4057641245454
44429,2873.92983128713,456.838017425743,45,15.0461386138614,15.4975227722772,2.05420792079208,-3.5,749.466964021782,333.61330210495,337.679807127723,20,40,9,32,5305985.52089431,396407.190880776,0,0,0,0,0,0,0,15.0461386138614,25.1492959295929,2.05420792079208,2.20326597236811,2.61068463458193,-3.5,-3.48535979107015,-2.38286132574681,1.98494692597775,1.57478609714337,1.57996610260448,8.72044410473732,-0.00153984542394165,671.293109232673,670.39961900301,651.072933812639,5.9816256928025,1400.64783912198,-98.7598062410419,0,1400.64783912198,15.046241446917,15.046241446917,-0.00393888398741016,15.0436159659859,24.6,1015.3,39.6999999999999,6.83441225393845
44430,2873.9312250495,456.840673069307,45,15.0319108910891,15.4828682178218,2.04220792079208,-3.5,749.882364473268,340.323476772277,324.603085223762,20,40,9,32,5305988.04323651,396410.54523158,0,0,0,0,0,0,0,15.0319108910891,29.3259070682067,2.04220792079208,2.19039522476714,2.59965945914637,-3.5,-3.48535979107015,-2.37937424201724,1.99376844044019,1.58178477209502,1.59046068673268,8.72527750846578,-0.000363574616946307,664.926561996039,664.300221470297,650.74098613034,5.9872711375189,1389.43168332988,-98.09981683968,0,1389.43168332988,15.0281247916871,15.0281247916871,-0.0039211841976294,15.0353049989128,24.6,1015.3,39.6999999999999,6.77791533164882
44431,2873.93262128713,456.843321584158,45,15.0182079207921,15.4687541584158,1.95638613861386,-3.5,748.445005393069,332.945317566337,311.891284938614,20,40,9,32,5305990.57032503,396413.890781871,0,0,0,0,0,0,0,15.0182079207921,33.4994062156214,1.95638613861386,2.09834601667708,2.52586019742214,-3.5,-3.48535979107015,-2.35017301568281,2.08132087753192,1.65124575309085,1.64267670300128,8.70855307614385,0.000192480675832644,644.83660250495,645.053266268777,649.748146747678,5.99274034318532,1346.14995732759,-92.1394128094025,0,1346.14995732759,15.0173349671601,15.0173349671601,-0.00368700236360508,15.0329725642986,24.6,1015.3,39.6999999999999,6.40486628835322
