# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile LS1: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS1.csdat
# Datafile HS: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_HS.csdat
# Datafile LS2: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_LS2.csdat
#
# Results
# fv_veh:,0.970873786407766
# fv_veh_opt2:,0.969525450405305
# fv_pe:,0.536281150040195
# beta_ame:,-0.0146402089298575
#
SecID [-],DirID [-],RunID [-],HeadID [-],delta t [s],length [m],delta s [m],v (s) [km/h],v (GPS) [km/h],v_veh_CAN [km/h],v_veh [km/h],vair_ar [m/s],vair_ic [m/s],vair_uf [m/s],beta_ar [°],beta_ic [°],beta_uf [°],valid [-],used [-],val_User [-],val_vVeh_avg [-],val_vVeh_f [-],val_vVeh_1s [-],val_vWind [-],val_vWind_1s [-],val_tq_f [-],val_tq_1s [-],val_beta [-],val_dist [-],vair [m/s],v_wind_avg [m/s],v_wind_1s [m/s],v_wind_1s_max [m/s],beta_avg [°],beta_abs [°],v_air_sq [m2/s2],n_eng [rpm],omega_wh [rad/s],omega_p_wh [rad/s2],tq_sum [Nm],tq_sum_1s [Nm],tq_sum_1s_max [Nm],tq_sum_1s_min [Nm],tq_sum_float [Nm],tq_sum_float_max [Nm],tq_sum_float_min [Nm],t_float [s],F_trac [N],F_acc [N],F_grd [N],F_res [N],F_res_ref [N],v_veh_1s [km/h],v_veh_1s_max [km/h],v_veh_1s_min [km/h],v_veh_avg [km/h],a_veh_avg [m/s2],v_veh_float [km/h],v_veh_float_max [km/h],v_veh_float_min [km/h],t_amb_veh [°C],t_amb_stat [°C],p_amb_stat [mbar],rh_stat [%],vp_H2O [Pa],rho_air [kg/m3],t_tire [°C],p_tire [bar],F0_ref_singleDS [N],F2_ref_singleDS [N],F0_singleDS [N],CdxA_singleDS [m2],RRC_singleDS [kg/t],Satelites [#]
1,1,1,1,59.7300000000032,250.64,250.726831617744,15.106378704168,15.1117229661867,15.5649511004117,15.1116030101085,1.62270907264814,3.24541814529629,1.74045657532081,-0.263063274188148,-0.263063274188148,-0.24842306525842,1,1,1,1,1,1,1,1,1,1,1,1,2.24738345697663,1.95431783836351,1.95348939712671,2.90715154141816,-0.037480811860909,0.037480811860909,5.24422952557452,753.572908344445,8.76821893629334,3.94118922918938E-05,649.814124405474,649.821924019223,671.677933868317,628.322062980198,649.991110168506,651.340679788196,648.659331936087,5.95571730971224,1357.35353974161,5.26987934626099,0,1357.35353974161,1343.13057312342,15.1115785609278,15.168015183697,15.0542772277228,15.1115785609278,0.00021052908772625,15.1111659065588,15.153818967023,15.0668542713567,20,24.5131035152327,1015.31673920317,40.2970909943087,1242.60289413574,1.20098449086979,40,0,0,0,0,0,0,9
2,1,1,1,59.8600000000006,250.64,250.739023704342,15.0735716672234,15.0795607148817,15.5319183814195,15.0795324091448,2.31960280607983,4.63920561215967,2.48791852096192,-3.18661433105061,-3.18661433105061,-3.17197412212056,1,1,1,1,1,1,1,1,1,1,1,1,2.83841411741839,1.36094855816592,1.36180084828266,2.3698264614285,-2.23268326961832,2.23268326961832,8.26288926514582,751.93178454339,8.74912359378589,-1.80395942968447E-06,650.26711997117,650.255911223759,671.677937109901,628.322070013861,650.015482020371,651.340676102529,648.659459930354,5.9683846205946,1358.22431254822,0.547556190404666,0,1358.22431254822,1343.99631480419,15.0796453518744,15.1354177625685,15.022405940594,15.0796453518744,2.19351315455758E-05,15.0795327168264,15.1131859702721,15.0412998324957,20,24.3868784199086,1015.2976496575,40.4645900952063,1238.37310552525,1.20098083319451,40,0,0,0,0,0,0,9
2,2,1,2,59.6399999999994,250.64,250.492037207314,15.129175050302,15.1292759430005,15.5738644361205,15.1202567340975,4.91819413243924,9.83638826487848,5.27506961093089,3.33368818105616,3.33368818105616,3.34832838998623,1,1,1,1,1,1,1,1,1,1,1,1,5.05174092782569,0.900719632899028,0.901792006758928,1.73867850402407,2.75887945201887,2.75887945201887,25.7642673512439,756.269404861693,8.79959409795636,-3.26731097746914E-05,650.320786099681,650.30732544251,671.677936851485,628.322065603961,650.018255085866,651.340678446206,648.659326509949,5.95233239783558,1362.49953846259,-13.9280096570285,0,1362.49953846259,1348.08557731055,15.1202597749383,15.1980242524272,15.0665841584158,15.1202597749383,-0.000556876494215242,15.1202052705223,15.1980056617822,15.0784371859296,20,24.3550963956394,1015.29999999989,39.6467303101425,1211.03528843933,1.20110660615455,40,0,0,0,0,0,0,10
1,2,1,2,59.8600000000006,250.64,250.608622424302,15.0735716672234,15.0716879906459,15.5238357182128,15.0716851633129,4.67209403708034,9.34418807416068,5.01111192660276,-0.113382328378151,-0.113382328378151,-0.0987421194484215,1,1,1,1,1,1,1,1,1,1,1,1,4.83970363521116,1.04003741474692,1.04029360481013,2.49864926700589,-0.029634914842188,0.029634914842188,24.496581550344,753.354852179723,8.76568173760755,4.85866391624739E-06,649.729929710307,649.741262257441,671.677936560396,628.322064952475,649.984812693241,651.340679956156,648.663656388027,5.97149605948292,1360.38056762515,0.0790778191319301,0,1360.38056762515,1346.11715725334,15.0717099232304,15.1217131114102,15.0033663366336,15.0717099232304,3.12374648189884E-06,15.0716225536874,15.0991286690438,15.0286951423785,20,24.3445214631687,1015.29977125428,40.5024477701687,1236.39003429464,1.20099227533882,40,0,0,0,0,0,0,10
1,1,0,1,10.6600000000035,250.64,251.423377777781,84.6439024389967,84.9084086223055,87.4556608809746,84.9084086223054,19.9798477037957,39.9596954075914,21.429631408439,-1.53388940955951,-1.53388940955951,-1.51924920062963,1,1,1,1,1,1,1,1,1,1,1,1,21.8700963902126,2.40766868582701,2.38822493589101,3.05582850670837,-1.1797199876126,1.1797199876126,480.795573940845,1838.3045923149,53.4741129840452,0.000886023128550696,1350.28020994555,1352.58759041953,1471.82674178416,1322.90266335842,1352.68804114463,1473.47785721429,1322.99722054095,1.05996755436039,3061.38571946573,177.587821722908,0,3061.38571946573,3029.52400638752,84.9076552933643,85.0318019801979,84.7022277227722,84.9076552933643,0.00709632818952046,84.9076306154327,85.0317714285713,84.7003523809523,20,24.7999999999995,1015.19999999998,39.2380181818182,1230.87592958189,1.20089851527849,40,0,1282.89516919179,3.6318579117064,1296.38746623384,6.11218078022169,5.28598355243155,10
2,1,0,1,10.6199999999953,250.64,250.654388888893,84.962711864444,84.9676519285041,87.5166814863593,84.967651928504,20.1423078289652,40.2846156579304,21.6038800139622,-0.977902163687676,-0.977902163687676,-0.963261954757805,1,1,1,1,1,1,1,1,1,1,1,1,22.011741221705,2.06001511526754,2.07095104999109,3.03360272667162,-0.747604754157067,0.747604754157067,486.01307705682,1839.36829727187,53.5050549069934,-0.000403631333755354,1354.01970266143,1351.92740057768,1377.09741033168,1260.4122496495,1351.82909167851,1377.00285289143,1260.03585088762,1.0592273082633,3069.49838687711,8.7853914967811,0,3069.49838687711,3037.69772478546,84.9654666132651,84.9924455445544,84.9341683168316,84.9654666132651,0.000354715622078929,84.9653998297718,84.993038095238,84.936057142857,20,24.7999999999995,1015.19999999998,39.6455870178739,1243.66114894807,1.20084100063811,40,0,1273.73863674255,3.62865489844446,1287.07298915347,6.10679031711041,5.24800403324554,10
2,2,0,2,10.6399999999994,250.64,251.387227777792,84.8030075188016,85.0558347417835,87.6075097840374,85.0558347417833,20.0731883150798,40.1463766301597,21.5297450291688,-0.605370892018779,-0.605370892018779,-0.590730683088914,1,1,1,1,1,1,1,1,1,1,1,1,21.9581147369049,2.28906726783862,2.29111353738485,3.05088363489283,-0.45789580766189,0.45789580766189,484.346870364174,1841.35539906103,53.562857354982,-0.000887687021749852,1350.26075002479,1348.68642415558,1377.09741214257,1264.21574757327,1348.63114589777,1377.00285469429,1266.05193025143,1.05812888910445,3061.12314251572,-59.4766567588282,0,3061.12314251572,3029.06083709702,85.0567827732069,85.1127227722771,85.0202376237623,85.0567827732069,-0.0023718216892112,85.0568225262687,85.113638095238,85.0202476190475,20,24.9000000000004,1015.19999999998,38.4366625352113,1212.95670692505,1.20097912536562,40,0,1251.02521929721,3.67107255968126,1264.26719587832,6.17817648365561,5.15501405047226,10
1,2,0,2,10.6200000000026,250.64,250.800858333353,84.9627118643858,85.0172822201318,87.5678006867358,85.0172822201316,20.2594524930009,40.5189049860019,21.7295249642625,-0.497488240827846,-0.497488240827846,-0.482848031897988,1,1,1,1,1,1,1,1,1,1,1,1,22.1144032552198,2.01398549694328,2.00771454024154,3.0360147224065,-0.375294958650022,0.375294958650022,490.709297976465,1841.18156161806,53.5578006287435,-2.73648361868041E-05,1345.80581627018,1344.27542777563,1377.09715162772,1288.58982993564,1344.22355667987,1377.00259509048,1287.65351335619,1.05860893453104,3052.10685556288,-9.51404570066983,0,3052.10685556288,3020.37082846218,85.0165908460082,85.0699405940592,84.9545544554454,85.0165908460082,-0.000380329660435012,85.0165664919588,85.0688380952379,84.9557238095237,20,24.9000000000004,1015.19999999998,39.0860387582314,1233.44925734636,1.20088693909691,40,0,1241.76750148273,3.62472751074576,1254.8151599717,6.10018077890929,5.11647363902832,10
1,1,0,1,10.6500000000015,250.64,251.158566666667,84.7233802816786,84.8985131332078,87.4454685272045,84.8985131332077,19.340864290272,38.6817285805441,20.7442818887169,-0.911735459662289,-0.911735459662289,-0.897095250732422,1,1,1,1,1,1,1,1,1,1,1,1,21.3257775919177,2.53096993224293,2.51625398859699,3.02894466962151,-0.693916705659192,0.693916705659192,455.697480851112,1837.28846153846,53.4445549379123,-0.000197836727282034,1354.32378870535,1355.76417537622,1409.81004072277,1322.90258788416,1355.82883493424,1411.18978576857,1322.99714532952,1.06009094986934,3069.23323144874,243.402201084752,0,3069.23323144874,3036.86182212686,84.8979824735755,85.0562277227722,84.6816831683167,84.8979824735755,0.00973767639428036,84.8979487447511,85.0585714285714,84.6794761904761,20,24.7999999999995,1015.19999999998,38.0386008442777,1193.25084047925,1.20106777271609,40,0,1280.65666182378,3.8528183483661,1294.3078133838,6.48404283181453,5.27750382623363,9.9859287054409
2,1,0,1,10.6200000000026,250.64,250.754355555567,84.9627118643858,85.0016208842897,87.5516695108185,85.0016208842897,19.9102160029727,39.8204320059454,21.3549470712458,-1.33769520225776,-1.33769520225776,-1.32305499332789,1,1,1,1,1,1,1,1,1,1,1,1,21.8163260005174,2.24537464371826,2.25271737978016,3.02423783036218,-1.02475812164685,1.02475812164685,477.570123820559,1839.81702728128,53.5181079338546,-0.000205236271401027,1348.63581035353,1346.25019277279,1377.0971608297,1273.87155380198,1346.16052559574,1377.00260426095,1275.94434049048,1.05880418403155,3056.8457254496,-1.38934741685277,0,3056.8457254496,3024.84367435285,84.9994023266859,85.0644554455444,84.919910891089,84.9994023266859,-5.39447171403113E-05,84.999321605519,85.0631142857141,84.9212666666666,20,24.7999999999995,1015.19999999998,38.7102634054563,1214.32054067474,1.20097299012418,40,0,1273.2600593313,3.66687428428917,1286.73081612567,6.17111105907528,5.24660883231669,9.82596425211665
